title,price,bedrooms,bathrooms,beds,placeType,spotPhotos,description,address,latitude,longitude,city,state
Lighthouse Point Gardens,145,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20190716012535522845000000-o.jpg,"SEASONAL $1450 MONTHLY. LOCATION! LOCATION! EXCLUSIVE LIGHTHOUSE POINT COMMUNITY. LOCATED IN THE CENTER OF ACTIVITY, YET MINUTES TO THE BEAUTIFUL DEERFIELD BEACH. WALKING DISTANCE TO PUBLIX, SHOPPING CENTERS, SPECIALTY SHOPS AND DINING. SIDEWALKS FOR STROLLING THROUGH BEAUTIFUL RESIDENTIAL AREA, PARK & TENNIS CENTER. LOVELY SAFE AREA. UNIT IS TASTEFULLY FURNISHED. NEUTRAL THROUGHOUT. EXTRA HALF BATH. NICE KITCHEN. GENEROUS LIVING ROOM & ALCOVE DINING. ALL GENTLY USED & IMMACULATELY MAINTAINED. BEAUTIFUL SEASONAL RENTAL. SHUFFLE BOARD. WELL KEPT COMMUNITY.",2050 NE 39th Street #313S,26.278963,-80.095615,Lighthouse Point,FL
THE AVENTURA BEACH CLUB C,150,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20190918232139104882000000-o.jpg,*** BEAUTIFUL DIRECT OCEAN VIEWS IN OCEANFRONT BUILDING **** CORNER RENOVATED STUDIO *** FULLY FURNISHED - FULL KITCHEN APPLIANCES *** CABLE AND WI-FI INCLUDED *** KING BED AND SOFA BED *** DIRECT ACCESS TO THE BEACH - ALL RESORT AMENITIES *** TIKI BAR - POOL -GYM - RESTAURANT - COFFEE SHOP - CONVENIENCE STORE - VALET - BEACH SERVICE *** SHORT OR LONG TERM MINIMUM 10 DAYS *** HIGH SEASON: U$2000 ----- LOW SEASON U$ 1500 --------- ***,19201 Collins Avenue #744,25.954444,-80.1197,Sunny Isles Beach,FL
THE AVENTURA BEACH CLUB C,150,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20210427174754425120000000-o.jpg,"Studio on the beach in Aventura Beach Club, Sunny Isles Beach. Two queen beds, kitchenette. Cable, Internet, Wi-Fi, electricity are included in the rent. No balcony. Great location. Close to shopping, restaurants and entertainment. Call for availability.",19201 Collins Avenue #723,25.954444,-80.1197,Sunny Isles Beach,FL
COASTAL WATERWAYS CO-OP,170,1,2,1,Condo,http://cdn.photos.sparkplatform.com/fl/20201229020859357368000000-o.jpg,"Available only from July 1st, 2021 for a maximum of 6 months. Absolutely gorgeous impeccable remodeled unit. Your dream vacation rental! Top floor completely renovated, brand new, cozy apartment comes fully furnished and equipped for seasonal rental! Large bedroom with ample closet space and 2 full bathrooms. Breathtaking views of the Intracoastal waterways from a screened porch. Coastal Waterways coop is an all-ages very quiet and serene building, a hidden oasis in the heart of the City of Hallandale. It's located within walking distance to the beach, shops, and restaurants. Located adjacent to the brand new Beach Walk Hotel on the Intracoastal side. Close to both Fort Lauderdale and Miami Airports, Gulfstream Casino and A Aventura Mall. Spend your vacation days in paradise!",2600 Diana Drive #320,25.985358,-80.122875,Hallandale Beach,FL
LA PERLA CONDO,450,3,2,3,Condo,http://cdn.photos.sparkplatform.com/fl/20200416093142587199000000-o.jpg,"******AVAILABLE 6 MONTHS + 1 DAY OR YEARLY****** NOW FULLY FURNISHED. 2 BEDROOMS PLUS A DEN. 1 ASSIGNED SELF PARKING 1 VALET SPOT INCLUDED. AVAILABLE 6 MONTH 1 DAY OR ANNUALLY. CALL FOR AVAILABILITY AND SEASONAL PRICING. INCREDIBLE OCEAN AND PANORAMIC CITY VIEWS FROM 36TH FLOOR. BEST SUNRISE AND SUNSET VIEWS IN ALL OF SUNNY ISLES FROM EACH BEDROOM AND THE UNIT'S 3 BALCONIES. UNIT COMES WITH 1 ASSIGNED VALET. PARKING THE NEWLY RENOVATED HISTORIC PIER AND RESTAURANT AND IS WITHIN WALKING DISTANCE TO ALL THE STORES, RESTAURANTS AND SHOPPING PLAZAS IN SUNNY ISLES. BUILDING HAS STATE OF THE ART FITNESS ROOM, CONCIERGE, KIDS PLAYROOM, BILLIARD ROOM, AND PARTY ROOM.",16699 Collins Avenue #3601,25.930199,-80.121209,Sunny Isles Beach,FL
Plaza 15 Condo,155,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20200428213836770073000000-o.jpg,"Nicely updated 1 bedroom 1 bath in East Fort Lauderdale. Has updated kitchen and bathroom. Tile Floors, Washer/Dryer. Comes completely furnished with everything. Cable & Internet and Electric included in the rent. Building is conveniently minutes from the beach, shopping, bars and restaurants, Las Olas and Downtown. Also conveniently located to all major highways, airports as well as the hardrock casino. Call with any questions on this great unit.",1600 SE 15th Street #407,26.103046,-80.125216,Fort Lauderdale,FL
Deauville Terrace Co-Op,200,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20210426142926241475000000-o.jpg,"Are you ready to get away from it all in this Vacation Rental? Minimum 1 months desired - Maximum 6 months - available for 2021 season. Be in Paradise before the frigid winter months are upon you. This 2 BR 2 BA Corner Unit has an over-sized screened patio, close to the pool, shuffle board and BBQ and a parking spot right outside your door. Deauville Terrace is located in a secluded quite cul-de-sac location in Harbor Village a sought after community east of Federal Highway between the 14th Street Causeway and Atlantic Blvd. Lots of Shopping, Restaurants, Golfing, Biking and more. Close to beaches, Pompano Mall and all great sites Pompano Beach has to offer. Also available for sale asking $165,000 One person must be 55+",2541 NE 11th Street #117,26.24514,-80.098269,Pompano Beach,FL
MERIDIAN COURT CONDO,140,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20200522153056753000000000-o.jpg,"Completely furnished!! Ready to move, in the heart of south beach, first floor completely redone , washer & dryer inside the apartment. Water is included. Asking only 2 months in advance. Hurry bring your clients!!!For rents less than 1 year send me a text message.",911 Meridian Avenue #105,25.779622,-80.135901,Miami Beach,FL
LAUDERDALE,99,1,1,1,Apartment,http://cdn.photos.sparkplatform.com/fl/20200610030838276406000000-o.jpg,"BEAUTIFUL UPDATED 300 SQ.FT. STUDIO $990 INCLUDES UTILITIES,UNFURNISHED WITH PRIVATE ENTRANCE AND LAUNDRY ACCESS. GREAT LOCATION! YOU MUST SEE IT! IT CAN BE RENTED FURNISHED FOR $1040 OR . KEYLESS LOCKS. PET FRIENDLY. PLEASE ASK US ABOUT OUR OTHER BEAUTIFUL RENTALS FROM OUR EXTENSIVE PORTFOLIO. 1 BED /1 BATH AVAILABLE FOR $1175 FURNISHED NO UTILITIES INCLUDED.",2101 SE 4th Avenue #1502,26.095405,-80.138968,Fort Lauderdale,FL
OAKLAND PARK SECOND ADD,160,1,1,1,Apartment,http://cdn.photos.sparkplatform.com/fl/20200619211833648172000000-o.jpg,"1 BEDROOM 1 BATH 600 SQ.FT BEAUTIFUL APARTMENT WITH PRIVATE ENTRANCE IN GORGEOUS PROPERTY IN THE HEART OF OAKLAND PARK! LAUNDRY IN UNIT, KEYLESS LOCKS, CENTRAL A/C AND MINI SPLIT A/C (NOT WINDOW UNIT - SUPER QUIET). SOPHISTICATED KITCHEN! OUTDOOR COVERED BALCONY/PATIO AREA WITH SEATING AND CHIC AMBIENCE. REMODELED IN 2019. YOU MUST SEE IT! IT CAN BE RENTED FURNISHED OR UNFURNISHED. PET FRIENDLY. PLEASE ASK US ABOUT OUR OTHER BEAUTIFUL RENTALS FROM OUR EXTENSIVE PORTFOLIO.",1531 NE 35th Street #1211,26.171722,-80.127823,Oakland Park,FL
